Inventory Number,Process Number,Section,Image Side,Material,Size,,Mounted,Negative,Conservation Status,Status,,,,,,,,,,,,,,,,,,,,,,,,,
Kelsey inv. 67.1.82,18094,recto-verso,Recto,Paper,~14 x 13 cm,1,No,laid paper, dirt,Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Documentary,"fragment of interlaced geometrical motif, red with black border",NL,700,899,,,,,,,,,,,,,,,
Kelsey inv. 67.1.83,18095,recto-verso,Verso,Paper,6 x 15.5 cm,1,No,laid paper, dirt,Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Literary,"recto illustration of pot holding flowers standing on tiled floor, 4.2 x 13.2 cm, pen and ink in black and red",NL,700,899,,,,,,,,,,,,,,,
Kelsey inv. 67.1.83,18095,recto-verso,Recto,Paper,6 x 15.5 cm,1,No,laid paper, dirt,Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Literary,"recto illustration of pot holding flowers standing on tiled floor, 4.2 x 13.2 cm, pen and ink in black and red",NL,700,899,,,,,,,,,,,,,,,
Kelsey inv. 67.1.84,18096,recto-verso,Verso,Paper,7.5 x 11 cm,1,No,laid paper,Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Literary,recto 6 lines red ink writing practice of phrase “God suffices the one relying on Him”,NL,700,899,,,,,,,,,,,,,,,,
Kelsey inv. 67.1.84,18096,recto-verso,Recto,Paper,7.5 x 11 cm,1,No,laid paper,Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Literary,recto 6 lines red ink writing practice of phrase “God suffices the one relying on Him”,NL,700,899,,,,,,,,,,,,,,,,
Kelsey inv. 67.1.85,18097,recto-verso,Verso,Paper,10 x 13 cm,1,No,laid paper,Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Literary,"illustration in black ink contained by border, missing lower right and left corners but otherwise intact",NL,700,899,,,,,,,,,,,,,,,,
Kelsey inv. 67.1.85,18097,recto-verso,Recto,Paper,10 x 13 cm,1,No,laid paper,Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Literary,"illustration in black ink contained by border, missing lower right and left corners but otherwise intact",NL,700,899,,,,,,,,,,,,,,,,
Kelsey inv. 67.1.86,18098,recto-verso,Verso,Par,5 x 9 cm,1,No,yellow parchment,Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Literary,recto (hair side) illustration within half circle of head and foreparts of cattle or dog,NL,700,899,,,,,,,,,,,,,,,,
Kelsey inv. 67.1.86,18098,recto-verso,Recto,Par,5 x 9 cm,1,No,yellow parchment,Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Literary,recto (hair side) illustration within half circle of head and foreparts of cattle or dog,NL,700,899,,,,,,,,,,,,,,,,
Kelsey inv. 67.1.87,18099,recto-verso,Verso,may be leaf of Kelsey 67.1.89,Paper,7 x 5.5 cm,1,No,Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Literary,"recto fragment of illustration in black ink, verso blank",NL,700,899,,,,,,,,,,,,,,,,
Kelsey inv. 67.1.87,18099,recto-verso,Recto,may be leaf of Kelsey 67.1.89,Paper,7 x 5.5 cm,1,No,Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Literary,"recto fragment of illustration in black ink, verso blank",NL,700,899,,,,,,,,,,,,,,,,
Kelsey inv. 67.1.88,18100,recto-verso,Verso,Paper,13 x 15 cm,1,No,laid paper,Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Literary,recto illustration in fine red pen of horse in profile and frontal of man seated atop,NL,700,899,,,,,,,,,,,,,,,,
Kelsey inv. 67.1.88,18100,recto-verso,Recto,Paper,13 x 15 cm,1,No,laid paper,Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Literary,recto illustration in fine red pen of horse in profile and frontal of man seated atop,NL,700,899,,,,,,,,,,,,,,,,
Kelsey inv. 67.1.89,18101,recto-verso,Verso,+ 67.1.87?,Paper,6.5 x 5.5 cm,1,No,some pest damage,Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Literary,"10 leaves, stab-bound on left with white thread, sewing intact ",NL,700,899,,,,,,,,,,,,,,,
Kelsey inv. 67.1.89,18101,recto-verso,Recto,+ 67.1.87?,Paper,6.5 x 5.5 cm,1,No,some pest damage,Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Literary,"10 leaves, stab-bound on left with white thread, sewing intact ",NL,700,899,,,,,,,,,,,,,,,
Kelsey inv. 67.1.90,18102,recto-verso,Verso,Paper,10 x 6 cm,1,No,pest damage,Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Literary,"recto fragment of illustration in brown, red, and black ink of animals ",NL,700,899,,,,,,,,,,,,,,,,
Kelsey inv. 67.1.90,18102,recto-verso,Recto,Paper,10 x 6 cm,1,No,pest damage,Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Literary,"recto fragment of illustration in brown, red, and black ink of animals ",NL,700,899,,,,,,,,,,,,,,,,
Kelsey inv. 7666,16746,Recto-Verso,Verso,Wood,10.8 x 6 cm,1,No,No,Complete.,Unpublished,Ann Arbor,VIth-VIIIth century A.D.,Unknown,Unknown,Greek,Documentary,Unknown,Mummy label,One line incised,NL,500,799,,,,,,,,,,,,,
Kelsey inv. 7666,16746,Recto-Verso,Recto,Wood,10.8 x 6 cm,1,No,No,Complete.,Unpublished,Ann Arbor,VIth-VIIIth century A.D.,Unknown,Unknown,Greek,Documentary,Unknown,Mummy label,One line incised,NL,500,799,,,,,,,,,,,,,
Kelsey inv. 8484,16747,Recto-Verso,Verso,Wood,12.5 x 7 cm,1,No,No,Complete.,Unpublished,Ann Arbor,VIth-VIIIth century A.D.,Unknown,Unknown,Greek,Documentary,Unknown,Mummy label,"One line incised, the phrase EPAGATHW",NL,500,799,,,,,,,,,,,,,
Kelsey inv. 8484,16747,Recto-Verso,Recto,Wood,12.5 x 7 cm,1,No,No,Complete.,Unpublished,Ann Arbor,VIth-VIIIth century A.D.,Unknown,Unknown,Greek,Documentary,Unknown,Mummy label,"One line incised, the phrase EPAGATHW",NL,500,799,,,,,,,,,,,,,
Mich. MSS inv. 12,4015,under research, contact institution,unpublished,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mich. MSS inv. 158, 29",4588,under research, contact institution,unpublished,Brown University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mich. MSS inv. 158, 46abcd",4587,under research, contact institution,unpublished,Mary Washington College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O.Mich. inv. 24630,16302,Ost,Self 13B,Ann Arbor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O.Mich. inv. 24634,16300,Ost,Self 13B,Ann Arbor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O.Mich. inv. 24639,16301,recto,Recto,Ost,10.7 x 9.5 cm,1,3 lines,No,Broken piece from an an amphora with notations on it.,Red ink.  The letters are written in a cursive handwriting.,Unpublished,Ann Arbor,IIIrd century A.D.?,"Karanis, Herakleidou meris, Arsinoite nome, province of Egypt","Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",Greek,Documentary,Amphora notation,NL,200,299,,,,,,,,,,,,,,
O.Mich. inv. 4011,16899,recto-verso,Verso,Ost,11.8 x 12.9 cm,1,recto: 7 lines, verso: 6 lines,No, The ink  is effaced at many points.,Black ink.,Unpublished,Ann Arbor,IInd-Ist century B.C.?,"Karanis, Herakleidou meris, Arsinoite nome, province of Egypt","Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",Demotic,Documentary,NL,-199,-1,,,,,,,,,,,,,,
O.Mich. inv. 4011,16899,recto-verso,Recto,Ost,11.8 x 12.9 cm,1,recto: 7 lines, verso: 6 lines,No, The ink  is effaced at many points.,Black ink.,Unpublished,Ann Arbor,IInd-Ist century B.C.?,"Karanis, Herakleidou meris, Arsinoite nome, province of Egypt","Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",Demotic,Documentary,NL,-199,-1,,,,,,,,,,,,,,
O.Mich. inv. 4019,16900,recto,Recto,Ost,8.8 x 7.7 cm,1,5 lines,No, The ink is effaced at many points.,Black ink.,Unpublished,Ann Arbor,IInd-Ist century B.C.?,"Karanis, Herakleidou meris, Arsinoite nome, province of Egypt","Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",Demotic,Documentary,NL,-199,-1,,,,,,,,,,,,,,,
O.Mich. inv. 4073,16896,recto,Recto,Ost,15.2 x18.2 cm,1,13 lines,No,Broken off at the top and the left-hand side. The ink in the lower part is effaced.,Black ink.,Unpublished,Ann Arbor,IInd-Ist century B.C.?,"Karanis, Herakleidou meris, Arsinoite nome, province of Egypt","Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",Demotic,Documentary,NL,-199,-1,,,,,,,,,,,,,,,
O.Mich. inv. 4113,16897,recto,Recto,Ost,16 x 8.6 cm,1,10 lines,No,Broken off at all sides. The ink in the lower part is effaced.,Black ink.,Unpublished,Ann Arbor,IInd-Ist century B.C.?,"Karanis, Herakleidou meris, Arsinoite nome, province of Egypt","Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",Demotic,Documentary,NL,-199,-1,,,,,,,,,,,,,,,
O.Mich. inv. 4718,16898,recto,Recto,Ost,10.8 x 6.8 cm,1,2 lines,No,Broken off at all sides. The ink is effaced.,Black ink.,Unpublished,Ann Arbor,Ist - IInd century A.D.,"Karanis, Herakleidou meris, Arsinoite nome, province of Egypt","Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",Greek,Documentary,NL,1,199,,,,,,,,,,,,,,,
O.Mich. inv. 4859,16303,Recto,Ost,Self 13B,Ann Arbor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O.Mich. inv. 93455,13365,recto,Recto,Ost,11.5 x 12 cm,1,16 lines,Published,Ann Arbor,IInd century A.D.,"Karanis, Herakleidou meris, Arsinoite nome, province of Egypt","Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",Greek,Documentary,Unknown,Letter about a pig,"This complete ostracon, written in a practiced and elegant hand, was part of material that","was excavated by the University of Michigan in Karanis, Dime, and Terenouthis, but that",was somehow not accessioned with the bulk of the material from these sites at the Kelsey,,NL,100,199,,,,,,,,,,,,
O.Mich.inv 9522,18512,Ost,1,Unpublished,Cairo,"Karanis, Herakleidou meris, Arsinoite nome, province of Egypt","Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",30-C137*-GI,Greek,Documentary,Very little text visible,EN,,,,,,,,,,,,,,,,,,,,,,,
O.Mich.inv.  9008,457,Recto,Recto, Verso is blank,Ost,9.1 x 6.7 cm,1,6,No,No,Complete(?), almost completely faded,published,Cairo,(Probably) 304 or 305 A.D.,"probably Karanis, Herakleidou meris, Arsinoite nome, province of Egypt","Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",27-243-Z,Greek,Documentary,Unknown tax-collector,Receipt for Transport of Grain (?),Receipt for transport of grain to an unknown harbor (?),"Service, Compulsory non-military--Egypt--Karanis (Extinct city)",Tax collection--Egypt--Karanis (Extinct city),Land value taxation--Egypt--Karanis (Extinct city),,PH,304,305,,,,,
O.Mich.inv.  9529,918,Recto,Recto,Recto, Verso is blank,-,Ost,6.1 X 5.2 cm,1,3,No,No,complete,"see electronic version of OMich II, 761",published,Cairo,Ist century B.C.,"probably Karanis, Herakleidou meris, Arsinoite nome, Egypt","Karanis, Herakleidou meris, Arsinoite nome, Egypt",30-C141*-J I,Greek,Documentary,Unknown tax-collector,Receipt of money tax,Receipt for payment of syntaxis by a Hera(--),Taxation (persons),Hera(--) son of Horos,-,"In the 22nd year, (has paid) Hera(  ) son of Horos, for syntaxis, on Epeiph 28, 170''; on Mesore 2, 40.",view the greek text of this document in a separate window,,s,PH,-99,-1
O.Mich.inv. 10248,14,Recto,Recto, Verso is blank,-,Ost,6.8 X 5.1 cm,1,6,No,Yes,complete,"see electronic version of O.Mich III, 1072",published,Cairo,(Late) IIIrd century/(early) IVth century A.D. (September 8/9),"probably Karanis, Herakleidou meris, Arsinoite nome, province of Egypt","Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",34-X,Greek,Documentary,"Dioskoros, dekaprotos",Receipt for Transport of Grain,"Receipt for delivery of grain brought by a Suerion (and others?), in the name of  Horigenes, to an unknown harbor","Service, Compulsory non-military--Egypt--Karanis (Extinct city)",Tax collection--Egypt--Karanis (Extinct city),Land value taxation,zEgypt--Karanis (Extinct city),Receipts (Acknowledgments)--Egypt.,,s,PH,200,324,
O.Mich.inv. 10249,15,Recto,Recto, Verso is blank,-,Ost,5.2 X 6.1 cm,1,7,No,Yes,complete,"see electronic version of OMich II, 916",published,Cairo,"March 1, 299 A.D.","probably Karanis, Herakleidou meris, Arsinoite nome, province of Egypt","Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",34-X,Greek,Documentary,"Severinus & Andreas, dekaprotoi",Receipt for Transport of Grain,Receipt for delivery of grain brought by a Ouenaphris to an unknown harbor,"Service, Compulsory non-military--Egypt--Karanis (Extinct city)",Tax collection--Egypt--Karanis (Extinct city),Land value taxation,zEgypt--Karanis (Extinct city),Receipts (Acknowledgments)--Egypt.,,s,PH,299,299,
O.Mich.inv. 10250,16,Recto,Recto, Verso is blank,-,Ost,7 X 5.9 cm,1,6,No,Yes,complete,"see electronic version of OMich III, 992",published,Cairo,(Late) IIIrd century A.D.,"Karanis, Herakleidou meris, Arsinoite nome, province of Egypt","Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",34-X,Greek,Documentary,Unknown tax-collector,Receipt for money tax,"Receipt for payment of a warranty and other charges for transfer of property, by a Ptolemaios",Land tenure--Egypt--Karanis (Extinct city),Transfer (Law)--Egypt--Karanis (Extinct city),Tax collection--Egypt--Karanis (Extinct city),Receipts (Acknowledgments)--Egypt--Karanis (Extinct city),Drachma.,,s,PH,200,299,
O.Mich.inv. 10252,17,Recto,Recto,Recto, Verso is blank,-,Ost,6.7 X 4.8 cm,1,2,No,yes,complete,"see electronic version of OMich II, 839",published,Cairo,IIIrd century A.D. (March 29),"probably Karanis, Herakleidou meris, Arsinoite nome, province of Egypt","Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",34-X,Greek,Documentary,Unknown dyke-surveyor,Receipt (Certificate) for work on the embankments,Certificate for work on the embankment performed by a Sabinus,Irrigation.,Corvée--Egypt.,Dikes (Engineering)--Egypt.,Sabinus son of Ptolemaios,50th cleruchy,,s,PH,200,299
